DateKey,Year,Month,Quarter
20220101,2022,1,1
20220201,2022,2,1
20220301,2022,3,1
20220401,2022,4,2
20220501,2022,5,2
20220601,2022,6,2
20220701,2022,7,3
20220801,2022,8,3
20220901,2022,9,3
20221001,2022,10,4
20221101,2022,11,4
20221201,2022,12,4
20230101,2023,1,1
20230201,2023,2,1
20230301,2023,3,1
20230401,2023,4,2
20230501,2023,5,2
20230601,2023,6,2
20230701,2023,7,3
20230801,2023,8,3
20230901,2023,9,3
20231001,2023,10,4
20231101,2023,11,4
20231201,2023,12,4
20240101,2024,1,1
20240201,2024,2,1
20240301,2024,3,1
20240401,2024,4,2
20240501,2024,5,2
20240601,2024,6,2
20240701,2024,7,3
20240801,2024,8,3
20240901,2024,9,3
20241001,2024,10,4
20241101,2024,11,4
20241201,2024,12,4
